"VERSION","KEY","VALUE"
"12.1","ORA-00922","https://docs.oracle.com/database/121/ERRMG/ORA-00910.htm#GUID-D9EBDFFA-88C6-4185-BD2C-E1B959A97274__GUID-E44B4421-18C7-4C15-BC74-F223E4AC6A6B"
"12.1","ORA-01100","https://docs.oracle.com/database/121/ERRMG/ORA-00910.htm#GUID-D9EBDFFA-88C6-4185-BD2C-E1B959A97274__GUID-556B6E62-D6DD-445E-A46D-D3F607CD986F"
"12.1","ORA-01501","https://docs.oracle.com/database/121/ERRMG/ORA-01500.htm#GUID-65B2B9E5-7075-4D53-91B8-FCAECA0AEE0E__GUID-D42F0E47-0C62-4ED5-BB85-7D0DDB3DADC6"
"12.1","ORA-65012","https://docs.oracle.com/database/121/ERRMG/ORA-60001.htm#GUID-9B78A028-D760-4810-9CFC-9013FBD1FCC9__GUID-57176DA6-6098-4970-B614-B7729FF7D841"
"12.1","ORA-65025","https://docs.oracle.com/database/121/ERRMG/ORA-60001.htm#GUID-9B78A028-D760-4810-9CFC-9013FBD1FCC9__GUID-0AA303A6-2499-47D7-8F11-AAD00A18B230"
