"VERSION","KEY","VALUE"
"12.1","COLUMN","https://docs.oracle.com/database/121/SQPUG/ch_twelve013.htm#i2697128"
"12.1","CONNECT","https://docs.oracle.com/database/121/SQPUG/ch_twelve015.htm#SQPUG036"
"12.1","SET LINESIZE","https://docs.oracle.com/database/121/SQPUG/ch_twelve040.htm#i2678481"
"12.1","SET PAGESIZE","https://docs.oracle.com/database/121/SQPUG/ch_twelve040.htm#i2699247"
"12.1","SHOW","https://docs.oracle.com/database/121/SQPUG/ch_twelve041.htm#SQPUG124"
"12.1","SHUTDOWN","https://docs.oracle.com/database/121/SQPUG/ch_twelve042.htm#SQPUG125"
"12.1","STARTUP","https://docs.oracle.com/database/121/SQPUG/ch_twelve045.htm#SQPUG128"
"12.1","sqlplus","https://docs.oracle.com/database/121/SQPUG/ch_three.htm#SQPUG363"
